Time(H:M:S.mS)	X	Y	Z	Pitch	Yaw	Roll	Position circle	Angle circle	Movie Time	Events
11:19:53.570	-0.139530625324284	0	-0.195342875453946	-0.0878933072908719	0.0549333170567949	0.0274666585283975	Inner	Inner	00:00:00.000	Zeroed
11:19:53.675	-0.11162450025941	0	-0.139530625324255	-0.0878933072908719	0.0659199804681539	0.032959990234077	Inner	Inner	00:00:00.000	
11:19:53.786	-0.0558122501297191	0	-0.111624500259438	-0.0823999755851924	0.0769066438795129	0.043946653645436	Inner	Inner	00:00:00.000	
11:19:53.895	-0.0279061250648738	0	-0.111624500259438	-0.0823999755851924	0.0823999755851924	0.0604266487624744	Inner	Inner	00:00:00.000	
11:19:54.004	0	-0.0279061250648454	-0.0837183751945645	-0.0769066438795129	0.0933866389965514	0.0714133121738334	Inner	Inner	00:00:00.000	
11:19:54.113	0.0279061250648454	0	-0.111624500259438	-0.0769066438795129	0.0933866389965514	0.0714133121738334	Inner	Inner	00:00:00.000	
11:19:54.222	0	0	-0.0837183751945645	-0.0769066438795129	0.0933866389965514	0.0769066438795129	Inner	Inner	00:00:00.000	
11:19:54.327	0	-0.0558122501296907	-0.0837183751945645	-0.0659199804681539	0.0878933072908719	0.0823999755851924	Inner	Inner	00:00:00.000	
11:19:54.440	-0.0279061250648738	-0.0279061250648454	-0.0558122501296907	-0.0604266487624744	0.0878933072908719	0.0769066438795129	Inner	Inner	00:00:00.000	
11:19:54.548	0	-0.0558122501296907	-0.0558122501296907	-0.0604266487624744	0.0933866389965514	0.0769066438795129	Inner	Inner	00:00:00.000	
11:19:54.655	-0.0279061250648738	0	-0.0837183751945645	-0.0494399853511154	0.0823999755851924	0.0769066438795129	Inner	Inner	00:00:00.000	
11:19:54.768	-0.0279061250648738	-0.0558122501296907	-0.111624500259438	-0.043946653645436	0.0823999755851924	0.0769066438795129	Inner	Inner	00:00:00.000	
11:19:54.877	-0.0279061250648738	-0.0279061250648454	-0.111624500259438	-0.032959990234077	0.0878933072908719	0.0769066438795129	Inner	Inner	00:00:00.000	
11:19:54.984	-0.0558122501297191	-0.0558122501296907	-0.0279061250648738	-0.032959990234077	0.0878933072908719	0.0769066438795129	Inner	Inner	00:00:00.000	
11:19:55.097	-0.0558122501297191	-0.0279061250648454	0	-0.021973326822718	0.0823999755851924	0.0769066438795129	Inner	Inner	00:00:00.000	
11:19:55.201	-0.0558122501297191	-0.0558122501296907	0	-0.0164799951170385	0.0878933072908719	0.0714133121738334	Inner	Inner	00:00:00.000	
11:19:55.316	-0.0558122501297191	-0.0558122501296907	0	-0.0164799951170385	0.0933866389965514	0.0659199804681539	Inner	Inner	00:00:00.000	
11:19:55.427	-0.0837183751945645	-0.0558122501296907	0	-0.0164799951170385	0.0878933072908719	0.0714133121738334	Inner	Inner	00:00:00.000	
11:19:55.530	-0.0558122501297191	-0.0837183751945361	0.0279061250648738	-0.0164799951170385	0.0933866389965514	0.0659199804681539	Inner	Inner	00:00:00.000	
11:19:55.643	-0.0558122501297191	-0.11162450025941	0.0558122501296907	-0.010986663411359	0.0878933072908719	0.0604266487624744	Inner	Inner	00:00:00.000	
11:19:55.753	-0.0558122501297191	-0.0837183751945361	0.0837183751945645	-0.021973326822718	0.0933866389965514	0.0714133121738334	Inner	Inner	00:00:00.000	
11:19:55.859	-0.0279061250648738	-0.0837183751945361	0.0837183751945645	-0.021973326822718	0.0988799707022309	0.0769066438795129	Inner	Inner	00:00:00.000	
11:19:55.972	-0.0279061250648738	-0.0558122501296907	0.0558122501296907	-0.0384533219397565	0.10437330240791	0.0823999755851924	Inner	Inner	00:00:00.000	
11:19:56.077	-0.0279061250648738	-0.0558122501296907	0	-0.0549333170567949	0.0988799707022309	0.0769066438795129	Inner	Inner	00:00:00.000	
11:19:56.190	-0.0558122501297191	-0.0837183751945361	0.0279061250648738	-0.0604266487624744	0.10986663411359	0.0823999755851924	Inner	Inner	00:00:00.000	
11:19:56.298	-0.0558122501297191	-0.0837183751945361	0.0279061250648738	-0.0659199804681539	0.115359965819269	0.0878933072908719	Inner	Inner	00:00:00.000	
11:19:56.405	-0.0279061250648738	-0.0279061250648454	0	-0.0769066438795129	0.120853297524949	0.0933866389965514	Inner	Inner	00:00:00.000	
11:19:56.518	-0.0558122501297191	-0.11162450025941	0	-0.0823999755851924	0.126346629230628	0.0933866389965514	Inner	Inner	00:00:00.000	
11:19:56.628	-0.0558122501297191	-0.0558122501296907	0	-0.0933866389965514	0.131839960936308	0.0878933072908719	Inner	Inner	00:00:00.000	
11:19:56.734	-0.0558122501297191	-0.0558122501296907	-0.0279061250648738	-0.0988799707022309	0.137333292641987	0.0878933072908719	Inner	Inner	00:00:00.000	
11:19:56.847	-0.0837183751945645	0	-0.0837183751945645	-0.10986663411359	0.142826624347667	0.0823999755851924	Inner	Inner	00:00:00.000	
11:19:56.951	-0.0837183751945645	-0.0279061250648454	-0.111624500259438	-0.120853297524949	0.148319956053346	0.0878933072908719	Inner	Inner	00:00:00.000	
11:19:57.065	-0.0837183751945645	-0.0558122501296907	-0.111624500259438	-0.131839960936308	0.159306619464705	0.0823999755851924	Inner	Inner	00:00:00.000	
11:19:57.171	-0.11162450025941	-0.0558122501296907	-0.111624500259438	-0.131839960936308	0.159306619464705	0.0823999755851924	Inner	Inner	00:00:00.000	
11:19:57.282	-0.139530625324284	-0.0558122501296907	-0.139530625324255	-0.142826624347667	0.159306619464705	0.0823999755851924	Inner	Inner	00:00:00.000	
11:19:57.395	-0.195342875453974	-0.0558122501296907	-0.167436750389129	-0.137333292641987	0.159306619464705	0.0659199804681539	Inner	Inner	00:00:00.000	
11:19:57.500	-0.195342875453974	-0.0558122501296907	-0.167436750389129	-0.137333292641987	0.164799951170385	0.0714133121738334	Inner	Inner	00:00:00.000	
11:19:57.610	-0.195342875453974	-0.0558122501296907	-0.167436750389129	-0.126346629230628	0.170293282876064	0.0714133121738334	Inner	Inner	00:00:00.000	
11:19:57.717	-0.195342875453974	-0.0837183751945361	-0.111624500259438	-0.10437330240791	0.170293282876064	0.0878933072908719	Inner	Inner	00:00:00.000	
11:19:57.826	-0.167436750389129	-0.11162450025941	-0.0837183751945645	-0.0878933072908719	0.181279946287423	0.0933866389965514	Inner	Inner	00:00:00.000	
11:19:57.939	-0.139530625324284	-0.0837183751945361	-0.0558122501296907	-0.0769066438795129	0.186773277993103	0.0933866389965514	Inner	Inner	00:00:00.000	
11:19:58.047	-0.11162450025941	-0.0837183751945361	-0.0558122501296907	-0.0659199804681539	0.186773277993103	0.10437330240791	Inner	Inner	00:00:00.000	
11:19:58.160	-0.195342875453974	-0.11162450025941	-0.0279061250648738	-0.0549333170567949	0.186773277993103	0.0988799707022309	Inner	Inner	00:00:00.000	
11:19:58.270	-0.139530625324284	-0.11162450025941	0	-0.0494399853511154	0.181279946287423	0.10986663411359	Inner	Inner	00:00:00.000	
11:19:58.376	-0.0837183751945645	-0.139530625324255	0.0279061250648738	-0.0384533219397565	0.175786614581744	0.10986663411359	Inner	Inner	00:00:00.000	
11:19:58.483	-0.0837183751945645	-0.139530625324255	0.0279061250648738	-0.032959990234077	0.164799951170385	0.10986663411359	Inner	Inner	00:00:00.000	
11:19:58.596	-0.0837183751945645	-0.0837183751945361	0.0558122501296907	-0.0384533219397565	0.148319956053346	0.10986663411359	Inner	Inner	00:00:00.000	
11:19:58.703	-0.0558122501297191	-0.11162450025941	0.111624500259381	-0.032959990234077	0.142826624347667	0.115359965819269	Inner	Inner	00:00:00.000	
11:19:58.817	-0.0279061250648738	-0.139530625324255	0.139530625324255	-0.032959990234077	0.131839960936308	0.10986663411359	Inner	Inner	00:00:00.000	
11:19:58.920	0	-0.139530625324255	0.139530625324255	-0.0384533219397565	0.120853297524949	0.120853297524949	Inner	Inner	00:00:00.000	
11:19:59.034	0	-0.167436750389101	0.167436750389129	-0.032959990234077	0.115359965819269	0.120853297524949	Inner	Inner	00:00:00.000	
11:19:59.140	0	-0.167436750389101	0.195342875453946	-0.0274666585283975	0.10437330240791	0.120853297524949	Inner	Inner	00:00:00.000	
11:19:59.249	0.0558122501296907	-0.167436750389101	0.195342875453946	-0.032959990234077	0.0988799707022309	0.126346629230628	Inner	Inner	00:00:00.000	
11:19:59.364	0.0558122501296907	-0.167436750389101	0.195342875453946	-0.021973326822718	0.0823999755851924	0.120853297524949	Inner	Inner	00:00:00.000	
11:19:59.473	0.0558122501296907	-0.139530625324255	0.251155125583637	-0.0274666585283975	0.0823999755851924	0.120853297524949	Inner	Inner	00:00:00.000	
11:19:59.577	0.11162450025941	-0.167436750389101	0.251155125583637	-0.021973326822718	0.0769066438795129	0.115359965819269	Inner	Inner	00:00:00.000	
11:19:59.691	0.0837183751945361	-0.195342875453946	0.251155125583637	-0.0274666585283975	0.0823999755851924	0.10437330240791	Inner	Inner	00:00:00.000	
11:19:59.802	0.0837183751945361	-0.139530625324255	0.251155125583637	-0.0274666585283975	0.0823999755851924	0.10986663411359	Inner	Inner	00:00:00.000	
11:19:59.905	0.0837183751945361	-0.167436750389101	0.251155125583637	-0.0274666585283975	0.0823999755851924	0.115359965819269	Inner	Inner	00:00:00.000	
11:20:00.198	0.0837183751945361	-0.139530625324255	0.306967375713384	-0.043946653645436	0.0823999755851924	0.10437330240791	Inner	Inner	00:00:00.000	
11:20:00.234	0.0558122501296907	-0.0279061250648454	-0.0279061250648169	-7.75658436841945	-0.346079897457808	-4.63087862788781	Inner	Off Target	00:00:00.000	Zeroed
11:20:00.347	0.0279061250648454	-0.0558122501296907	-0.0558122501296907	-3.86730552079836	-0.203253273110141	-2.34565263832514	Inner	Off Target	00:00:00.000	
11:20:00.452	0.0279061250648454	-0.0279061250648454	-0.0837183751945645	-0.021973326822718	0.010986663411359	0.021973326822718	Inner	Inner	00:00:00.000	
11:20:00.565	0.0279061250648454	-0.0558122501296907	-0.111624500259381	-0.032959990234077	0.0274666585283975	0.0274666585283975	Inner	Inner	00:00:00.000	
11:20:00.673	0.0558122501296907	-0.0279061250648454	-0.139530625324255	-0.043946653645436	0.032959990234077	0.0274666585283975	Inner	Inner	00:00:00.000	
11:20:00.780	0.0279061250648454	-0.0279061250648454	-0.167436750389072	-0.0549333170567949	0.032959990234077	0.021973326822718	Inner	Inner	00:00:00.000	
