Time(H:M:S.mS)	X	Y	Z	Pitch	Yaw	Roll	Position circle	Angle circle	Movie Time	Events
12:40:31.961	1.36740012817776	-1.08833887752922	0.809277626880714	-0.862453077791681	-0.65370647297586	-0.0933866389965514	Middle	Middle	00:00:00.000	Zeroed
12:40:32.067	1.39530625324261	-1.08833887752922	0.78137150181584	-0.856959746086001	-0.64821314127018	-0.0933866389965514	Middle	Middle	00:00:00.000	
12:40:32.177	1.4511185033723	-1.06043275246438	0.837183751945531	-0.86794640949736	-0.637226477858821	-0.0933866389965514	Middle	Middle	00:00:00.000	
12:40:32.284	1.39530625324261	-1.11624500259407	0.892996002075222	-0.87343974120304	-0.64821314127018	-0.0933866389965514	Middle	Middle	00:00:00.000	
12:40:32.396	1.53483687856686	-1.25577562791833	1.14415112765892	-0.944853053376873	-0.670186468092898	-0.0823999755851924	Middle	Middle	00:00:00.000	
12:40:32.501	2.03714712973419	-1.73017975402081	2.20458388012327	-1.38431958983123	-0.862453077791681	0	Off Target	Outer	00:00:00.000	
12:40:32.617	2.34411450544758	-1.95342875453963	2.67898800622578	-1.5546128727073	-0.928373058259835	0.032959990234077	Off Target	Outer	00:00:00.000	
12:40:32.720	2.45573900570696	-2.00924100466935	2.65108188116091	-1.52165288247322	-0.922879726554155	0.0659199804681539	Off Target	Outer	00:00:00.000	
12:40:32.835	2.51155125583668	-1.95342875453963	2.59526963103121	-1.4996795556505	-0.900906399731437	0.0769066438795129	Off Target	Outer	00:00:00.000	
12:40:32.941	2.56736350596637	-1.95342875453963	2.56736350596634	-1.4722128971221	-0.884426404614399	0.10986663411359	Off Target	Outer	00:00:00.000	
12:40:33.048	2.65108188116093	-1.92552262947478	2.53945738090152	-1.44474623859371	-0.862453077791681	0.137333292641987	Off Target	Outer	00:00:00.000	
12:40:33.159	2.67898800622578	-1.84180425428022	2.51155125583665	-1.43375957518235	-0.834986419263283	0.137333292641987	Off Target	Outer	00:00:00.000	
12:40:33.268	2.65108188116093	-1.86971037934507	2.42783288064209	-1.42277291177099	-0.818506424146245	0.142826624347667	Off Target	Outer	00:00:00.000	
12:40:33.376	2.59526963103124	-1.86971037934507	2.39992675557721	-1.41727958006531	-0.807519760734886	0.142826624347667	Off Target	Outer	00:00:00.000	
12:40:33.486	2.62317575609609	-1.86971037934507	2.39992675557721	-1.43375957518235	-0.796533097323527	0.137333292641987	Off Target	Outer	00:00:00.000	
